Pressure1,Pressure2,Pressure3,Pressure4,AirPressure1,AirPressure2,AirPressure3,AirPressure4,AirPressure5,AirPressure6,HeadLocation,SleepPosition
182.0,4.0,26.0,167.0,0.89,0.81,0.84,0.88,1.03,0.85,centerdown,aomuke
182.0,41.0,70.0,167.0,0.89,0.81,0.84,0.88,0.96,0.85,centerdown,left_yokomuki
182.0,44.0,68.0,167.0,0.89,0.81,0.84,0.88,0.97,0.85,centerdown,left_yokomuki
182.0,17.0,24.0,127.0,0.89,0.81,0.84,0.88,0.9,0.85,centerdown,right_yokomuki
182.0,15.0,24.0,127.0,0.89,0.81,0.84,0.88,0.91,0.85,centerdown,right_yokomuki

112.0,57.0,11.0,184.0,0.89,0.8,0.84,0.87,0.85,0.99,rightdown,aomuke
112.0,57.0,11.0,184.0,0.89,0.81,0.84,0.88,0.85,0.99,rightdown,aomuke
112.0,57.0,11.0,184.0,0.89,0.81,0.85,0.88,0.85,0.99,rightdown,aomuke
13.0,116.0,19.0,41.0,0.89,0.81,0.84,0.87,0.85,1.0,rightdown,left_yokomuki
13.0,116.0,19.0,41.0,0.89,0.81,0.84,0.87,0.84,1.0,rightdown,left_yokomuki
13.0,118.0,19.0,39.0,0.89,0.81,0.84,0.87,0.84,1.0,rightdown,left_yokomuki
